name,org_type1,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_water_development_board,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_general_land_office,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_division_of_emergency_management2,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_lower_neches_valley_authority,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_sabine_river_authority_of_texas,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_department_of_public_safety,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jefferson_county_drainage_district_3,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jefferson_county_drainage_district_6,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jefferson_county_drainage_district_7,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_orange_county_drainage_district,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_hardin_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_newton_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_orange_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_chambers_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_jasper_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_administrator_liberty_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_floodplain_manager_jefferson_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_hardin,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_jasper_newton_sabine_emergency_management_system,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_orange_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_jefferson,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_liberty_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_chambers_county,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_office_of_emergency_management_tyler,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_army_corps_of_engineers,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_us_geological_survey,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_lamar_university,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_trinity_bay_conservation_district,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_national_weather_service_houston_galveston_office,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_task_force_one,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_engineering_extension_service,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_department_of_transportation,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_parks_and_wildlife_department,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_health_and_human_services_commission,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_division_of_emergency_management,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_natural_resources_information_system,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_commission_on_environmental_quality,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_the_texas_clean_rivers_program,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_texas_department_of_insurance,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_national_flood_insurance_program,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_american_red_cross,how_confident_are_you_in_this_organizations_capacity_to_minimize_the_impacts_of_flooding_national_weather_service_lake_charles_office,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_water_development_board,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_general_land_office,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_division_of_emergency_management2,generally_speaking_the_information_provided_by_the_following_organizations_is_the_lower_neches_valley_authority,generally_speaking_the_information_provided_by_the_following_organizations_is_the_sabine_river_authority_of_texas,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_department_of_public_safety,generally_speaking_the_information_provided_by_the_following_organizations_is_jefferson_county_drainage_district_3,generally_speaking_the_information_provided_by_the_following_organizations_is_jefferson_county_drainage_district_6,generally_speaking_the_information_provided_by_the_following_organizations_is_jefferson_county_drainage_district_7,generally_speaking_the_information_provided_by_the_following_organizations_is_orange_county_drainage_district,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_hardin_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_newton_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_orange_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_chambers_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_jasper_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_administrator_liberty_county,generally_speaking_the_information_provided_by_the_following_organizations_is_floodplain_manager_jefferson_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_hardin,generally_speaking_the_information_provided_by_the_following_organizations_is_jasper_newton_sabine_emergency_management_system,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_orange_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_jefferson,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_liberty_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_chambers_county,generally_speaking_the_information_provided_by_the_following_organizations_is_office_of_emergency_management_tyler,generally_speaking_the_information_provided_by_the_following_organizations_is_army_corps_of_engineers,generally_speaking_the_information_provided_by_the_following_organizations_is_us_geological_survey,generally_speaking_the_information_provided_by_the_following_organizations_is_lamar_university,generally_speaking_the_information_provided_by_the_following_organizations_is_trinity_bay_conservation_district,generally_speaking_the_information_provided_by_the_following_organizations_is_the_national_weather_service_houston_galveston_office,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_task_force_one,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_engineering_extension_service,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_department_of_transportation,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_parks_and_wildlife_department,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_health_and_human_services_commission,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_division_of_emergency_management,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_natural_resources_information_system,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_commission_on_environmental_quality,generally_speaking_the_information_provided_by_the_following_organizations_is_the_texas_clean_rivers_program,generally_speaking_the_information_provided_by_the_following_organizations_is_texas_department_of_insurance,generally_speaking_the_information_provided_by_the_following_organizations_is_national_flood_insurance_program,generally_speaking_the_information_provided_by_the_following_organizations_is_american_red_cross,generally_speaking_the_information_provided_by_the_following_organizations_is_national_weather_service_lake_charles_office
United Way of Beaumont & North Jefferson County,Nonprofit,,2,4,,,4,,2,,,,,,,,,2,2,,,,,,,,,2,,,,,4,,,,,,,,,2,,,,4,,,4,,2,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,2,
Lamar University,Academia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Very useful,Extremely useful,Extremely useful,Extremely useful,NA,NA,Extremely useful,Extremely useful,Extremely useful,Not Applicable,NA,NA,Very useful,Very useful,NA,Very useful,Not applicable,Very useful,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,Extremely useful,NA,NA,NA,NA,Extremely useful,Not applicable,NA,Extremely useful,Extremely useful,NA,NA,NA,NA,NA,4
Floodplain Administrator - Jasper County,County agency,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Extremely Not confident,Extremely Not confident,Extremely Not confident,Extremely Not confident,Somewhat confident,NA,Somewhat confident,NA,Somewhat confident,NA,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,Slightly confident,Slightly confident,Somewhat confident,NA,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,NA,NA,NA,Slightly confident,Somewhat confident,Very useful,Very useful,Useful,Useful,Useful,Very useful,Not Applicable,Not Applicable,Not Applicable,Somewhat useful,Very useful,NA,Very useful,NA,Very useful,NA,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,NA,Very useful,Useful,Very useful,NA,Extremely useful,Very useful,Very useful,Useful,Very useful,Very useful,Very useful,Very useful,Very useful,NA,NA,NA,Useful,4
Lower Neches Valley Authority,State agency,Slightly confident,Extremely Not confident,Slightly confident,Somewhat confident,Somewhat confident,NA,NA,Completely confident,Completely confident,Slightly confident,Slightly confident,NA,NA,NA,Slightly confident,NA,NA,NA,NA,NA,Somewhat confident,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Not Applicable,NA,Not Applicable,NA,NA,Extremely useful,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,Not Applicable,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Extremely useful,Extremely useful,Useful,NA,NA,NA,NA,Useful,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,4
Jefferson County Drainage District 7,County agency,Slightly confident,Somewhat confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,NA,Completely confident,Completely confident,Completely confident,NA,NA,NA,NA,NA,NA,Slightly confident,NA,NA,NA,Slightly confident,NA,NA,NA,Completely confident,NA,Slightly confident,NA,NA,NA,NA,Somewhat confident,NA,NA,Somewhat confident,NA,Slightly confident,NA,NA,NA,NA,Somewhat confident,Useful,Extremely useful,Extremely useful,Useful,Useful,Very useful,NA,Very useful,Extremely useful,Very useful,NA,NA,NA,NA,NA,NA,Useful,NA,NA,NA,Very useful,NA,NA,NA,Extremely useful,NA,Useful,NA,NA,NA,NA,Useful,NA,NA,Very useful,NA,Somewhat useful,NA,NA,NA,NA,3
The National Weather Service-Houston/Galveston office,Federal agency,Somewhat confident,Somewhat confident,Somewhat confident,NA,NA,Somewhat confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat confident,Somewhat confident,NA,Somewhat confident,Somewhat confident,NA,NA,Somewhat confident,NA,NA,Somewhat confident,NA,NA,Somewhat confident,NA,Somewhat confident,NA,NA,Somewhat confident,Somewhat confident,Somewhat confident,Very useful,Useful,Extremely useful,NA,NA,Useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,Extremely useful,NA,Extremely useful,Extremely useful,NA,NA,Extremely useful,NA,NA,Very useful,NA,NA,Extremely useful,NA,Useful,NA,NA,Very useful,Somewhat useful,4
The Salvation Army Beaumont,Nonprofit,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely useful,NA,NA,NA,NA,NA,NA,
"City of Beaumont, Texas",Municipal,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,Completely confident,Somewhat confident,Somewhat confident,NA,NA,Somewhat confident,NA,NA,NA,Somewhat confident,NA,NA,NA,Somewhat confident,NA,NA,NA,Somewhat confident,NA,Not confident,NA,NA,NA,NA,Somewhat confident,NA,NA,Somewhat confident,NA,Somewhat confident,NA,NA,Somewhat confident,NA,Completely confident,Extremely useful,Extremely useful,Extremely useful,Useful,Somewhat useful,Extremely useful,NA,Extremely useful,Not Applicable,Not Applicable,NA,NA,Not Applicable,NA,NA,NA,Very useful,NA,NA,NA,Extremely useful,NA,NA,NA,Useful,NA,Extremely useful,NA,NA,NA,NA,Very useful,NA,NA,Extremely useful,NA,Very useful,NA,NA,Very useful,NA,4
National Weather Service-Lake Charles office,Federal agency,Somewhat confident,NA,Somewhat confident,Extremely Not confident,Somewhat confident,NA,NA,Completely confident,Completely confident,Somewhat confident,Slightly confident,NA,Slightly confident,NA,Slightly confident,NA,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,NA,NA,Somewhat confident,Completely confident,Completely confident,Somewhat confident,NA,Completely confident,NA,NA,NA,NA,NA,Somewhat confident,Completely confident,NA,NA,NA,Completely confident,NA,Completely confident,Extremely useful,NA,Useful,Useful,Very useful,NA,NA,Extremely useful,Somewhat useful,Not Applicable,Not Applicable,NA,Not Applicable,NA,Not Applicable,NA,Not Applicable,Very useful,Very useful,Very useful,Very useful,NA,NA,Useful,Extremely useful,Extremely useful,Very useful,NA,Extremely useful,NA,NA,NA,NA,NA,Very useful,Extremely useful,NA,NA,NA,Very useful,NA,4
